,Nom_Districte,Nom_Barri,Sexe,Nombre,Edat
96,Sarrià-Sant Gervasi,les Tres Torres,Dones,65,1
97,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dones,83,1
98,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Dones,197,1
99,Sarrià-Sant Gervasi,el Putxet i el Farró,Dones,117,1
100,Gràcia,Vallcarca i els Penitents,Dones,56,1
101,Gràcia,el Coll,Dones,29,1
102,Gràcia,la Salut,Dones,61,1
103,Gràcia,la Vila de Gràcia,Dones,217,1
104,Gràcia,el Camp d'en Grassot i Gràcia Nova,Dones,128,1
105,Horta-Guinardó,el Baix Guinardó,Dones,76,1
106,Horta-Guinardó,Can Baró,Dones,33,1
107,Horta-Guinardó,el Guinardó,Dones,129,1
108,Horta-Guinardó,la Font d'en Fargues,Dones,30,1
109,Horta-Guinardó,el Carmel,Dones,117,1
110,Horta-Guinardó,la Teixonera,Dones,35,1
111,Horta-Guinardó,Sant Genís dels Agudells,Dones,30,1
112,Horta-Guinardó,Montbau,Dones,23,1
113,Horta-Guinardó,la Vall d'Hebron,Dones,24,1
114,Horta-Guinardó,la Clota,Dones,6,1
115,Horta-Guinardó,Horta,Dones,105,1
116,Nou Barris,Vilapicina i la Torre Llobeta,Dones,77,1
117,Nou Barris,Porta,Dones,102,1
118,Nou Barris,el Turó de la Peira,Dones,67,1
119,Nou Barris,Can Peguera,Dones,5,1
120,Nou Barris,la Guineueta,Dones,47,1
121,Nou Barris,Canyelles,Dones,16,1
122,Nou Barris,les Roquetes,Dones,57,1
123,Nou Barris,Verdun,Dones,39,1
124,Nou Barris,la Prosperitat,Dones,96,1
125,Nou Barris,la Trinitat Nova,Dones,28,1
126,Nou Barris,Torre Baró,Dones,11,1
127,Nou Barris,Ciutat Meridiana,Dones,62,1
128,Nou Barris,Vallbona,Dones,9,1
129,Sant Andreu,la Trinitat Vella,Dones,49,1
130,Sant Andreu,Baró de Viver,Dones,13,1
131,Sant Andreu,el Bon Pastor,Dones,45,1
132,Sant Andreu,Sant Andreu,Dones,183,1
133,Sant Andreu,la Sagrera,Dones,111,1
134,Sant Andreu,el Congrés i els Indians,Dones,59,1
135,Sant Andreu,Navas,Dones,73,1
136,Sant Martí,el Camp de l'Arpa del Clot,Dones,99,1
137,Sant Martí,el Clot,Dones,76,1
138,Sant Martí,el Parc i la Llacuna del Poblenou,Dones,58,1
139,Sant Martí,la Vila Olímpica del Poblenou,Dones,25,1
140,Sant Martí,el Poblenou,Dones,130,1
141,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Dones,83,1
142,Sant Martí,el Besòs i el Maresme,Dones,109,1
143,Sant Martí,Provençals del Poblenou,Dones,85,1
144,Sant Martí,Sant Martí de Provençals,Dones,88,1
145,Sant Martí,la Verneda i la Pau,Dones,82,1
146,Ciutat Vella,el Raval,Dones,196,2
147,Ciutat Vella,el Barri Gòtic,Dones,41,2
148,Ciutat Vella,la Barceloneta,Dones,29,2
149,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Dones,57,2
150,Eixample,el Fort Pienc,Dones,138,2
151,Eixample,la Sagrada Família,Dones,161,2
152,Eixample,la Dreta de l'Eixample,Dones,151,2
153,Eixample,l'Antiga Esquerra de l'Eixample,Dones,134,2
154,Eixample,la Nova Esquerra de l'Eixample,Dones,193,2
155,Eixample,Sant Antoni,Dones,140,2
156,Sants-Montjuïc,el Poble Sec,Dones,128,2
157,Sants-Montjuïc,la Marina del Prat Vermell,Dones,4,2
158,Sants-Montjuïc,la Marina de Port,Dones,101,2
159,Sants-Montjuïc,la Font de la Guatlla,Dones,26,2
160,Sants-Montjuïc,Hostafrancs,Dones,67,2
161,Sants-Montjuïc,la Bordeta,Dones,66,2
162,Sants-Montjuïc,Sants - Badal,Dones,99,2
163,Sants-Montjuïc,Sants,Dones,131,2
164,Les Corts,les Corts,Dones,157,2
165,Les Corts,la Maternitat i Sant Ramon,Dones,87,2
166,Les Corts,Pedralbes,Dones,30,2
167,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Dones,15,2
168,Sarrià-Sant Gervasi,Sarrià,Dones,122,2
169,Sarrià-Sant Gervasi,les Tres Torres,Dones,59,2
170,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dones,101,2
171,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Dones,180,2
172,Sarrià-Sant Gervasi,el Putxet i el Farró,Dones,101,2
173,Gràcia,Vallcarca i els Penitents,Dones,60,2
174,Gràcia,el Coll,Dones,28,2
175,Gràcia,la Salut,Dones,50,2
176,Gràcia,la Vila de Gràcia,Dones,196,2
177,Gràcia,el Camp d'en Grassot i Gràcia Nova,Dones,124,2
178,Horta-Guinardó,el Baix Guinardó,Dones,96,2
179,Horta-Guinardó,Can Baró,Dones,34,2
180,Horta-Guinardó,el Guinardó,Dones,129,2
181,Horta-Guinardó,la Font d'en Fargues,Dones,35,2
182,Horta-Guinardó,el Carmel,Dones,130,2
183,Horta-Guinardó,la Teixonera,Dones,45,2
184,Horta-Guinardó,Sant Genís dels Agudells,Dones,25,2
185,Horta-Guinardó,Montbau,Dones,16,2
186,Horta-Guinardó,la Vall d'Hebron,Dones,25,2
187,Horta-Guinardó,la Clota,Dones,4,2
188,Horta-Guinardó,Horta,Dones,110,2
189,Nou Barris,Vilapicina i la Torre Llobeta,Dones,83,2
190,Nou Barris,Porta,Dones,96,2
191,Nou Barris,el Turó de la Peira,Dones,67,2
192,Nou Barris,Can Peguera,Dones,7,2
193,Nou Barris,la Guineueta,Dones,46,2
194,Nou Barris,Canyelles,Dones,15,2
195,Nou Barris,les Roquetes,Dones,81,2
196,Nou Barris,Verdun,Dones,40,2
197,Nou Barris,la Prosperitat,Dones,85,2
198,Nou Barris,la Trinitat Nova,Dones,24,2
199,Nou Barris,Torre Baró,Dones,12,2
200,Nou Barris,Ciutat Meridiana,Dones,49,2
201,Nou Barris,Vallbona,Dones,5,2
202,Sant Andreu,la Trinitat Vella,Dones,57,2
